Nombre Comuna,Código Comuna desde 2018,Provincia desde 2018,Código Provincia desde 2018,Nombre Región desde 2018,Código Región desde 2018
ALTO HOSPICIO,117,IQUIQUE,11,DE TARAPACÁ,1
IQUIQUE,111,IQUIQUE,11,DE TARAPACÁ,1
ANTOFAGASTA,211,ANTOFAGASTA,21,DE ANTOFAGASTA,2
CALAMA,221,EL LOA,22,DE ANTOFAGASTA,2
MARIA ELENA,232,TOCOPILLA,23,DE ANTOFAGASTA,2
MEJILLONES,212,ANTOFAGASTA,21,DE ANTOFAGASTA,2
OLLAGUE,222,EL LOA,22,DE ANTOFAGASTA,2
SAN PEDRO DE ATACAMA,223,EL LOA,22,DE ANTOFAGASTA,2
SIERRA GORDA,213,ANTOFAGASTA,21,DE ANTOFAGASTA,2
TALTAL,214,ANTOFAGASTA,21,DE ANTOFAGASTA,2
TOCOPILLA,231,TOCOPILLA,23,DE ANTOFAGASTA,2
ALTO DEL CARMEN,332,HUASCO,33,DE ATACAMA,3
CALDERA,312,COPIAPO,31,DE ATACAMA,3
CHAÑARAL,321,CHAÑARAL,32,DE ATACAMA,3
COPIAPO,311,COPIAPO,31,DE ATACAMA,3
DIEGO DE ALMAGRO,322,CHAÑARAL,32,DE ATACAMA,3
FREIRINA,333,HUASCO,33,DE ATACAMA,3
HUASCO,334,HUASCO,33,DE ATACAMA,3
TIERRA AMARILLA,313,COPIAPO,31,DE ATACAMA,3
VALLENAR,331,HUASCO,33,DE ATACAMA,3
ANDACOLLO,413,ELQUI,41,DE COQUIMBO,4
CANELA,422,CHOAPA,42,DE COQUIMBO,4
COMBARBALA,432,LIMARI,43,DE COQUIMBO,4
COQUIMBO,412,ELQUI,41,DE COQUIMBO,4
ILLAPEL,421,CHOAPA,42,DE COQUIMBO,4
LA HIGUERA,414,ELQUI,41,DE COQUIMBO,4
LA SERENA,411,ELQUI,41,DE COQUIMBO,4
LOS VILOS,423,CHOAPA,42,DE COQUIMBO,4
MONTE PATRIA,433,LIMARI,43,DE COQUIMBO,4
OVALLE,431,LIMARI,43,DE COQUIMBO,4
PAIHUANO,415,ELQUI,41,DE COQUIMBO,4
PUNITAQUI,434,LIMARI,43,DE COQUIMBO,4
RIO HURTADO,435,LIMARI,43,DE COQUIMBO,4
SALAMANCA,424,CHOAPA,42,DE COQUIMBO,4
VICUÑA,416,ELQUI,41,DE COQUIMBO,4
ALGARROBO,562,SAN ANTONIO,56,DE VALPARAÍSO,5
CABILDO,542,PETORCA,54,DE VALPARAÍSO,5
CALERA,552,QUILLOTA,55,DE VALPARAÍSO,5
CALLE LARGA,532,LOS ANDES,53,DE VALPARAÍSO,5
CARTAGENA,563,SAN ANTONIO,56,DE VALPARAÍSO,5
CASABLANCA,512,VALPARAISO,51,DE VALPARAÍSO,5
CATEMU,572,SAN FELIPE DE ACONCAGUA,57,DE VALPARAÍSO,5
CONCON,513,VALPARAISO,51,DE VALPARAÍSO,5
EL QUISCO,564,SAN ANTONIO,56,DE VALPARAÍSO,5
EL TABO,565,SAN ANTONIO,56,DE VALPARAÍSO,5
HIJUELAS,553,QUILLOTA,55,DE VALPARAÍSO,5
ISLA DE PASCUA,521,ISLA DE PASCUA,52,DE VALPARAÍSO,5
JUAN FERNANDEZ,514,VALPARAISO,51,DE VALPARAÍSO,5
LA CRUZ,554,QUILLOTA,55,DE VALPARAÍSO,5
